x1,condition,binchoice,bincorrect,binrt,x2,xavg,estim,estrt,trial,block,session,subj
10,0,0,NaN,1.198,0,5,-9.1652,2.034,24,2,3,1
0,-1,-1,0,1.144,NaN,NaN,NaN,NaN,25,2,3,1
20,0,0,NaN,1.253,20,20,9.31960000000001,1.051,26,2,3,1
10,0,0,NaN,1.046,10,10,13.57981,0.867,27,2,3,1
-10,-1,-1,1,0.862,NaN,NaN,NaN,NaN,28,2,3,1
-10,0,0,NaN,1.267,-20,-15,-9.095862,1.167,29,2,3,1
20,-1,1,1,1.021,NaN,NaN,NaN,NaN,32,2,3,1
10,1,1,1,0.782,-20,-5,10.5526,1.084,33,2,3,1
10,1,1,1,0.988,20,15,12.2616,1.484,34,2,3,1
-20,-1,-1,1,0.771,NaN,NaN,NaN,NaN,35,2,3,1
0,-1,-1,0,1.3,NaN,NaN,NaN,NaN,36,2,3,1
10,1,1,1,0.965,0,5,12.0259,1.017,37,2,3,1
0,0,0,NaN,1.234,0,0,13.7074,1.034,38,2,3,1
0,0,0,NaN,1.192,10,5,13.60256,1.151,39,2,3,1
-10,0,0,NaN,1.154,-10,-10,-14.24615,1.167,40,2,3,1
10,1,-1,0,1.526,0,5,-17.19417,0.967,41,2,3,1
10,1,1,1,1.761,20,15,19.574,1.401,42,2,3,1
10,1,1,1,1.613,20,15,18.053,1.334,43,2,3,1
0,0,0,NaN,1.146,20,10,17.6951,1.017,44,2,3,1
20,-1,1,1,0.783,NaN,NaN,NaN,NaN,45,2,3,1
10,1,-1,0,0.886,10,10,20.03677,1.017,46,2,3,1
-10,1,-1,1,0.825,-10,-10,-17.58164,0.667,47,2,3,1
20,0,0,NaN,1.284,-10,5,-8.111742,1.051,49,2,3,1
20,0,0,NaN,1.904,10,15,-10.13759,1.384,50,2,3,1
20,-1,1,1,0.938,NaN,NaN,NaN,NaN,51,2,3,1
-20,-1,-1,1,1.405,NaN,NaN,NaN,NaN,52,2,3,1
20,0,0,NaN,1.034,10,15,8.23211,0.801,53,2,3,1
-10,-1,1,0,1.018,NaN,NaN,NaN,NaN,54,2,3,1
-10,-1,1,0,1.154,NaN,NaN,NaN,NaN,57,2,3,1
20,1,1,1,1.357,-10,5,7.30993,1.234,58,2,3,1
10,-1,1,1,1.353,NaN,NaN,NaN,NaN,59,2,3,1
-10,1,1,0,1.645,10,0,16.43987,1.317,60,2,3,1
0,1,1,0,1.18,10,5,12.51823,0.934,61,2,3,1
