x1,condition,binchoice,bincorrect,x2,xavg,estim,subj
45.25,1,-1,1,46.875,46.0625,46,1
50.5,0,NaN,0,48.75,49.625,63,1
47.125,0,NaN,0,61.375,54.25,57,1
55.125,-1,1,1,44.75,49.9375,NaN,1
45.5,0,NaN,0,53.25,49.375,58,1
45.5,1,-1,1,57.125,51.3125,62,1
51.25,1,1,1,58.125,54.6875,58,1
54.625,-1,-1,0,39.125,46.875,NaN,1
50.625,-1,-1,0,59.375,55,NaN,1
44.5,-1,1,0,59.25,51.875,NaN,1
46.125,-1,-1,1,60.625,53.375,NaN,1
54.125,0,NaN,0,50.5,52.3125,58,1
45.875,0,NaN,0,61.125,53.5,64,1
44.5,-1,1,0,37.75,41.125,NaN,1
51.25,-1,1,1,58.25,54.75,NaN,1
44.75,0,NaN,0,58.125,51.4375,47,1
51.25,-1,1,1,54.125,52.6875,NaN,1
45.75,1,1,0,50.375,48.0625,52,1
50.25,-1,1,1,59.75,55,NaN,1
54,1,1,1,39.5,46.75,47,1
53,-1,-1,0,53,53,NaN,1
54.125,1,1,1,51.25,52.6875,53,1
46.125,1,1,0,59.75,52.9375,52,1
52.125,1,1,1,55.25,53.6875,57,1
47.625,0,NaN,0,57.75,52.6875,56,1
50.375,0,NaN,0,46,48.1875,50,1
55.875,-1,1,1,37.5,46.6875,NaN,1
53.75,-1,1,1,45.375,49.5625,NaN,1
48.125,1,1,0,57.125,52.625,61,1
55.25,-1,1,1,62.875,59.0625,NaN,1
51.75,-1,-1,0,38.625,45.1875,NaN,1
55,1,1,1,41.25,48.125,47,1
48.375,1,-1,1,45,46.6875,41,1
52.75,-1,1,1,57.375,55.0625,NaN,1
47.375,-1,1,0,40.375,43.875,NaN,1
52.125,-1,1,1,53,52.5625,NaN,1
45.5,0,NaN,0,53.375,49.4375,61,1
54,0,NaN,0,45,49.5,57,1
44.5,-1,1,0,58.5,51.5,NaN,1
52.125,-1,-1,0,57.5,54.8125,NaN,1
54.5,0,NaN,0,46.75,50.625,55,1
54.625,-1,-1,0,47.375,51,NaN,1
48.625,-1,-1,1,44.75,46.6875,NaN,1
48.25,-1,1,0,45.5,46.875,NaN,1
47.25,0,NaN,0,45.375,46.3125,53,1
53.125,0,NaN,0,40.75,46.9375,43,1
44.375,1,1,0,50.125,47.25,53,1
48.25,1,1,0,44.625,46.4375,52,1
47.25,-1,1,0,48.75,48,NaN,1
47,-1,1,0,54.625,50.8125,NaN,1
48.5,-1,1,0,58.125,53.3125,NaN,1
55.125,0,NaN,0,38.25,46.6875,50,1
45.625,-1,1,0,53.5,49.5625,NaN,1
50.625,-1,-1,0,48.5,49.5625,NaN,1
54.25,-1,1,1,44.5,49.375,NaN,1
48.5,0,NaN,0,57.375,52.9375,58,1
50.25,0,NaN,0,58,54.125,45,1
54.25,-1,1,1,45,49.625,NaN,1
46.875,-1,-1,1,51.75,49.3125,NaN,1
48.25,-1,1,0,37.75,43,NaN,1
54.625,-1,1,1,42.375,48.5,NaN,1
48.5,-1,1,0,44.5,46.5,NaN,1
50.625,0,NaN,0,61.875,56.25,55,1
47,-1,1,0,62,54.5,NaN,1
48.625,-1,-1,1,62.375,55.5,NaN,1
52.25,-1,1,1,42.75,47.5,NaN,1
